****************************************************
****************************************************
 mstm calculation results
 date, time:
20220125 190134.861 
 input file:
750.inp
****************************************************
 input variables for run     1
 sphere data input file:
temp_pos.dat
 number spheres
    8
 length, ref index scale factors
  8.3775804E-03  1.0000000E+00  0.0000000E+00
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  8.3775820E-01  4.1887902E-01  2.1965258E+00  8.3775820E-01
 sphere properties and associations
   sphere    host   layer radius     x       y       z           ref indx
       1       0       0   0.419   1.005   0.000  -1.466  1.3700E-01  4.4981E+00
       2       0       0   0.419   0.711   0.711  -1.047  1.3700E-01  4.4981E+00
       3       0       0   0.419   0.000   1.005  -0.628  1.3700E-01  4.4981E+00
       4       0       0   0.419  -0.711   0.711  -0.209  1.3700E-01  4.4981E+00
       5       0       0   0.419  -1.005   0.000   0.209  1.3700E-01  4.4981E+00
       6       0       0   0.419  -0.711  -0.711   0.628  1.3700E-01  4.4981E+00
       7       0       0   0.419  -0.000  -1.005   1.047  1.3700E-01  4.4981E+00
       8       0       0   0.419   0.711  -0.711   1.466  1.3700E-01  4.4981E+00
 random orientation, estimated t matrix order:
    17
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
     10000  1.0000E-06 -1.2000E+01
 maximum Mie order, number of equations:
  12      2688
 mean sphere Mie extinction, absorption efficiencies
  1.7391E-01  3.1833E-02
****************************************************
 calculation results for run 
           1
 number iterations, error, solution time 
     0  0.0000E+00  1.9190E+01
 t matrix order:
     7
 sphere unpolarized extinction, absorption, volume absorption efficiencies
   sphere    Qext        Qabs        Qvabs
       1  1.1675E+00  8.9926E-02  8.9926E-02
       2  2.1662E+00  1.6246E-01  1.6246E-01
       3  2.6589E+00  1.8453E-01  1.8453E-01
       4  2.7356E+00  1.8429E-01  1.8429E-01
       5  2.7355E+00  1.8430E-01  1.8430E-01
       6  2.6588E+00  1.8454E-01  1.8454E-01
       7  2.1666E+00  1.6246E-01  1.6246E-01
       8  1.1682E+00  8.9911E-02  8.9911E-02
 sphere-based total extinction, absorption, scattering efficiencies (unpolarized)
  4.3643E+00  3.1061E-01  4.0537E+00
 total scattering
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  4.6832E-01  0.0000E+00  7.9954E-01  7.9954E-01  0.0000E+00  8.1763E-01
    0.00  4.6821E-01 -9.8801E-05  7.9947E-01  7.9947E-01  4.8274E-05  8.1753E-01
    0.00  4.6789E-01 -3.9512E-04  7.9926E-01  7.9926E-01  1.9306E-04  8.1724E-01
    0.00  4.6736E-01 -8.8873E-04  7.9890E-01  7.9890E-01  4.3426E-04  8.1675E-01
    0.00  4.6662E-01 -1.5792E-03  7.9840E-01  7.9840E-01  7.7170E-04  8.1606E-01
    0.00  4.6567E-01 -2.4660E-03  7.9776E-01  7.9776E-01  1.2051E-03  8.1518E-01
    0.00  4.6451E-01 -3.5485E-03  7.9697E-01  7.9696E-01  1.7343E-03  8.1409E-01
    0.00  4.6314E-01 -4.8256E-03  7.9604E-01  7.9603E-01  2.3587E-03  8.1281E-01
    0.00  4.6158E-01 -6.2964E-03  7.9497E-01  7.9494E-01  3.0780E-03  8.1132E-01
    0.00  4.5982E-01 -7.9595E-03  7.9375E-01  7.9370E-01  3.8915E-03  8.0962E-01
    0.00  4.5786E-01 -9.8137E-03  7.9238E-01  7.9230E-01  4.7987E-03  8.0772E-01
    0.00  4.5572E-01 -1.1857E-02  7.9086E-01  7.9075E-01  5.7988E-03  8.0560E-01
    0.00  4.5339E-01 -1.4088E-02  7.8919E-01  7.8903E-01  6.8910E-03  8.0327E-01
    0.00  4.5088E-01 -1.6505E-02  7.8737E-01  7.8715E-01  8.0743E-03  8.0071E-01
    0.00  4.4820E-01 -1.9104E-02  7.8540E-01  7.8511E-01  9.3477E-03  7.9793E-01
    0.00  4.4536E-01 -2.1885E-02  7.8328E-01  7.8289E-01  1.0710E-02  7.9492E-01
    0.00  4.4235E-01 -2.4843E-02  7.8100E-01  7.8050E-01  1.2160E-02  7.9168E-01
    0.00  4.3919E-01 -2.7976E-02  7.7856E-01  7.7793E-01  1.3696E-02  7.8819E-01
    0.00  4.3588E-01 -3.1282E-02  7.7597E-01  7.7517E-01  1.5316E-02  7.8447E-01
    0.00  4.3244E-01 -3.4755E-02  7.7322E-01  7.7222E-01  1.7020E-02  7.8049E-01
    0.00  4.2886E-01 -3.8394E-02  7.7030E-01  7.6908E-01  1.8804E-02  7.7626E-01
    0.00  4.2516E-01 -4.2192E-02  7.6722E-01  7.6574E-01  2.0667E-02  7.7177E-01
    0.00  4.2134E-01 -4.6147E-02  7.6398E-01  7.6220E-01  2.2607E-02  7.6701E-01
